time,distance,gaze
2.725189,14.18086,0.512832
2.727756,14.18086,0.518055
2.730422,14.18086,0.520635
2.732882,14.18086,0.524462
2.735291,14.18086,0.527613
2.737859,14.18086,0.530728
2.740125,14.18086,0.533194
2.742724,14.18086,0.536242
2.745166,14.18086,0.538653
2.747868,14.18086,0.541632
2.750317,14.18086,0.5434
2.752703,14.18086,0.544793
2.755031,14.18086,0.546524
2.75767,14.18086,0.548809
2.76016,14.18086,0.548989
2.762944,14.18086,0.550671
2.765718,14.18086,0.552338
2.768092,14.18086,0.553441
2.77059,14.18086,0.553572
2.772834,14.18086,0.554659
2.775708,14.18086,0.556276
2.778108,14.18086,0.555839
2.780477,14.18086,0.556372
2.783081,14.18086,0.556903
2.785151,14.18086,0.556903
2.787084,14.18086,0.556903
2.789348,14.18086,0.555928
2.791429,14.18086,0.555928
2.793539,14.18086,0.555928
2.795469,14.18086,0.555928
2.797577,14.18086,0.555928
2.79955,14.18086,0.555928
2.801387,14.18086,0.555928
2.80346,14.18086,0.555928
2.8053,14.18086,0.555928
2.807189,14.18086,0.555928
2.809191,14.18086,0.555928
2.81104,14.18086,0.555928
2.81294,14.18086,0.555928
2.814865,14.18086,0.555928
2.81672,14.18086,0.555928
2.81859,14.18086,0.555928
2.820484,14.18086,0.555928
2.822585,14.18086,0.555928
2.824518,14.18086,0.555928
2.826482,14.18086,0.555928
2.828406,14.18086,0.555928
2.830813,14.18086,0.555928
2.833621,14.18086,0.555928
2.835958,14.18086,0.555928
2.838434,14.18086,0.555928
2.840752,14.18086,0.555928
2.842997,14.18086,0.555928
2.844979,14.18086,0.555928
2.847134,14.18086,0.555928
2.849201,14.18086,0.555928
2.851097,14.18086,0.555928
2.853037,14.18086,0.555928
2.855068,14.18086,0.555928
2.857179,14.18086,0.555928
2.8591,14.18086,0.555928
2.860948,14.18086,0.555928
2.86318,14.18086,0.555928
2.865283,14.18086,0.555928
2.867311,14.18086,0.555928
2.869183,14.18086,0.555928
2.871141,14.18086,0.555928
2.873138,14.18086,0.555928
2.875074,14.18086,0.555928
2.877066,14.18086,0.555928
2.879261,14.18086,0.555928
2.88133,14.18086,0.555928
2.883408,14.18086,0.555928
2.885388,14.18086,0.555928
2.887348,14.18086,0.555928
2.889284,14.18086,0.555928
2.891156,14.18086,0.555928
2.893032,14.18086,0.555928
2.895124,14.18086,0.555928
2.897266,14.18086,0.555928
2.899393,14.18086,0.555928
2.901337,14.18086,0.555928
2.903405,14.18086,0.555928
2.905329,14.18086,0.555928
2.907168,14.18086,0.555928
2.909044,14.18086,0.555928
2.910974,14.18086,0.555928
2.912984,14.18086,0.555928
2.914976,14.18086,0.555928
2.91698,14.18086,0.555928
2.918843,14.18086,0.555928
2.920713,14.18086,0.555928
2.92273,14.18086,0.555928
